id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
638,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
639,Gaia-2 b,683,0.817 Jupiters,11.277,2022
640,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
641,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
642,Gamma Librae b,155,1.02 Jupiters,3.90672,2018
643,Gamma Librae c,155,4.58 Jupiters,3.90672,2018
644,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
645,GJ 1002 b,16,1.08 Earths,13.76,2022
646,GJ 1002 c,16,1.36 Earths,13.76,2022
647,GJ 1061 b,12,1.37 Earths,12.7,2020
648,GJ 1061 c,12,1.74 Earths,12.7,2020
649,GJ 1061 d,12,1.64 Earths,12.7,2020
650,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
651,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
652,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
653,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
654,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
655,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
656,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
657,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
658,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
659,FU Tauri b,435,16 Jupiters,,2008
660,G 264-012 b,52,2.5 Earths,13.078,2021
661,G 264-012 c,52,3.75 Earths,13.078,2021
662,G 9-40 b,91,11.7 Earths,13.821,2019
663,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
664,Gaia-2 b,683,0.817 Jupiters,11.277,2022
665,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
666,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
667,Gamma Librae b,155,1.02 Jupiters,3.90672,2018
668,Gamma Librae c,155,4.58 Jupiters,3.90672,2018
669,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
670,GJ 1002 b,16,1.08 Earths,13.76,2022
671,GJ 1002 c,16,1.36 Earths,13.76,2022
672,GJ 1061 b,12,1.37 Earths,12.7,2020
673,GJ 1061 c,12,1.74 Earths,12.7,2020
674,GJ 1061 d,12,1.64 Earths,12.7,2020
675,GJ 1132 b,41,1.66 Earths,13.68,2015
676,GJ 1132 c,41,2.64 Earths,13.68,2018
677,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
678,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
679,GJ 1151 c,26,10.62 Earths,13.76,2023
680,GJ 1214 b,48,8.17 Earths,15.1,2009
681,GJ 1252 b,66,1.32 Earths,12.68,2020
682,GJ 1265 b,33,7.4 Earths,14.01,2018
683,GJ 143 b,53,22.7 Earths,8.08,2019
684,GJ 15 A b,12,3.03 Earths,8.09,2014
685,GJ 15 A c,12,36 Earths,8.09,2018
686,GJ 160.2 b,84,10.2 Earths,9.7,2014
687,GJ 163 b,49,10.6 Earths,11.79,2013
688,GJ 163 c,49,6.8 Earths,11.79,2013
689,GJ 163 d,49,29.4 Earths,11.79,2013
690,GJ 179 b,40,0.95 Jupiters,11.963,2009
691,GJ 180 b,39,6.49 Earths,10.914,2014
692,GJ 180 c,39,6.4 Earths,10.914,2014
693,GJ 180 d,39,7.56 Earths,10.914,2020
694,GJ 2030 b,121,4.76743 Earths,6.20902,2022
695,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
696,GJ 2056 b,93,16.2 Earths,10.37,2020
697,GJ 229 A c,19,8.58137 Earths,8.15,2020
698,GJ 229 b,19,14.93794 Earths,8.15,2014
699,GJ 251 b,18,4 Earths,9.89,2020
700,GJ 1132 b,41,1.66 Earths,13.68,2015
701,GJ 1132 c,41,2.64 Earths,13.68,2018
702,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
703,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
704,GJ 1151 c,26,10.62 Earths,13.76,2023
705,GJ 1214 b,48,8.17 Earths,15.1,2009
706,GJ 1252 b,66,1.32 Earths,12.68,2020
707,GJ 1265 b,33,7.4 Earths,14.01,2018
708,GJ 143 b,53,22.7 Earths,8.08,2019
709,GJ 15 A b,12,3.03 Earths,8.09,2014
710,GJ 15 A c,12,36 Earths,8.09,2018
711,GJ 160.2 b,84,10.2 Earths,9.7,2014
712,GJ 163 b,49,10.6 Earths,11.79,2013
713,GJ 163 c,49,6.8 Earths,11.79,2013
714,GJ 163 d,49,29.4 Earths,11.79,2013
715,GJ 179 b,40,0.95 Jupiters,11.963,2009
716,GJ 180 b,39,6.49 Earths,10.914,2014
717,GJ 180 c,39,6.4 Earths,10.914,2014
718,GJ 180 d,39,7.56 Earths,10.914,2020
719,GJ 2030 b,121,4.76743 Earths,6.20902,2022
720,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
721,GJ 2056 b,93,16.2 Earths,10.37,2020
722,GJ 229 A c,19,8.58137 Earths,8.15,2020
723,GJ 229 b,19,14.93794 Earths,8.15,2014
724,GJ 251 b,18,4 Earths,9.89,2020
725,GJ 1132 b,41,1.66 Earths,13.68,2015
726,GJ 1132 c,41,2.64 Earths,13.68,2018
727,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
728,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
729,GJ 1151 c,26,10.62 Earths,13.76,2023
730,GJ 1214 b,48,8.17 Earths,15.1,2009
731,GJ 1252 b,66,1.32 Earths,12.68,2020
732,GJ 1265 b,33,7.4 Earths,14.01,2018
733,GJ 143 b,53,22.7 Earths,8.08,2019
734,GJ 15 A b,12,3.03 Earths,8.09,2014
735,GJ 15 A c,12,36 Earths,8.09,2018
736,GJ 160.2 b,84,10.2 Earths,9.7,2014
737,GJ 163 b,49,10.6 Earths,11.79,2013
738,GJ 163 c,49,6.8 Earths,11.79,2013
739,GJ 163 d,49,29.4 Earths,11.79,2013
740,GJ 179 b,40,0.95 Jupiters,11.963,2009
741,GJ 180 b,39,6.49 Earths,10.914,2014
742,GJ 180 c,39,6.4 Earths,10.914,2014
743,GJ 180 d,39,7.56 Earths,10.914,2020
744,GJ 2030 b,121,4.76743 Earths,6.20902,2022
745,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
746,GJ 2056 b,93,16.2 Earths,10.37,2020
747,GJ 229 A c,19,8.58137 Earths,8.15,2020
748,GJ 229 b,19,14.93794 Earths,8.15,2014
749,GJ 251 b,18,4 Earths,9.89,2020
750,GJ 1132 b,41,1.66 Earths,13.68,2015
751,GJ 1132 c,41,2.64 Earths,13.68,2018
752,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
753,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
754,GJ 1151 c,26,10.62 Earths,13.76,2023
755,GJ 1214 b,48,8.17 Earths,15.1,2009
756,GJ 1252 b,66,1.32 Earths,12.68,2020
757,GJ 1265 b,33,7.4 Earths,14.01,2018
758,GJ 143 b,53,22.7 Earths,8.08,2019
759,GJ 15 A b,12,3.03 Earths,8.09,2014
760,GJ 15 A c,12,36 Earths,8.09,2018
761,GJ 160.2 b,84,10.2 Earths,9.7,2014
762,GJ 163 b,49,10.6 Earths,11.79,2013
763,GJ 163 c,49,6.8 Earths,11.79,2013
764,GJ 163 d,49,29.4 Earths,11.79,2013
765,GJ 179 b,40,0.95 Jupiters,11.963,2009
766,GJ 180 b,39,6.49 Earths,10.914,2014
767,GJ 180 c,39,6.4 Earths,10.914,2014
768,GJ 180 d,39,7.56 Earths,10.914,2020
769,GJ 2030 b,121,4.76743 Earths,6.20902,2022
770,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
771,GJ 2056 b,93,16.2 Earths,10.37,2020
772,GJ 229 A c,19,8.58137 Earths,8.15,2020
773,GJ 229 b,19,14.93794 Earths,8.15,2014
774,GJ 251 b,18,4 Earths,9.89,2020
775,GJ 27.1 b,77,13 Earths,11.45,2014
776,GJ 273 b,19,2.89 Earths,9.84,2017
777,GJ 273 c,19,1.18 Earths,9.84,2017
778,GJ 3021 b,57,3.37 Jupiters,6.59,2000
779,GJ 3082 b,54,8.2 Earths,11.041,2020
780,GJ 3090 b,73,3.34 Earths,11.403,2022
781,GJ 3138 b,93,1.78 Earths,10.8275,2017
782,GJ 3138 c,93,4.18 Earths,10.8275,2017
783,GJ 3138 d,93,10.5 Earths,10.8275,2017
784,GJ 317 b,50,2.5 Jupiters,12.4,2007
785,GJ 317 c,50,1.64396 Jupiters,12.4,2018
786,GJ 3222 b,59,11.44182 Earths,6.9,2022
787,GJ 328 b,67,2.51 Jupiters,9.99,2013
788,GJ 328 c,67,21.4 Earths,9.99,2023
789,GJ 3293 b,66,23.54 Earths,11.945,2015
790,GJ 3293 c,66,21.09 Earths,11.945,2015
791,GJ 3293 d,66,7.6 Earths,11.945,2017
792,GJ 3293 e,66,3.28 Earths,11.945,2017
793,GJ 3323 b,18,2.02 Earths,12.57,2017
794,GJ 3323 c,18,2.31 Earths,12.57,2017
795,GJ 3341 b,77,6.6 Earths,12.062,2015
796,GJ 338 B b,21,10.6 Earths,7.7,2020
797,GJ 3470 b,96,13.9 Earths,12.332,2012
798,GJ 3473 b,89,1.86 Earths,13.74,2020
799,GJ 3473 c,89,7.41 Earths,13.74,2020
800,GJ 27.1 b,77,13 Earths,11.45,2014
801,GJ 273 b,19,2.89 Earths,9.84,2017
802,GJ 273 c,19,1.18 Earths,9.84,2017
803,GJ 3021 b,57,3.37 Jupiters,6.59,2000
804,GJ 3082 b,54,8.2 Earths,11.041,2020
805,GJ 3090 b,73,3.34 Earths,11.403,2022
806,GJ 3138 b,93,1.78 Earths,10.8275,2017
807,GJ 3138 c,93,4.18 Earths,10.8275,2017
808,GJ 3138 d,93,10.5 Earths,10.8275,2017
809,GJ 317 b,50,2.5 Jupiters,12.4,2007
810,GJ 317 c,50,1.64396 Jupiters,12.4,2018
811,GJ 3222 b,59,11.44182 Earths,6.9,2022
812,GJ 328 b,67,2.51 Jupiters,9.99,2013
813,GJ 328 c,67,21.4 Earths,9.99,2023
814,GJ 3293 b,66,23.54 Earths,11.945,2015
815,GJ 3293 c,66,21.09 Earths,11.945,2015
816,GJ 3293 d,66,7.6 Earths,11.945,2017
817,GJ 3293 e,66,3.28 Earths,11.945,2017
818,GJ 3323 b,18,2.02 Earths,12.57,2017
819,GJ 3323 c,18,2.31 Earths,12.57,2017
820,GJ 3341 b,77,6.6 Earths,12.062,2015
821,GJ 338 B b,21,10.6 Earths,7.7,2020
822,GJ 3470 b,96,13.9 Earths,12.332,2012
823,GJ 3473 b,89,1.86 Earths,13.74,2020
824,GJ 3473 c,89,7.41 Earths,13.74,2020
825,GJ 27.1 b,77,13 Earths,11.45,2014
826,GJ 273 b,19,2.89 Earths,9.84,2017
827,GJ 273 c,19,1.18 Earths,9.84,2017
828,GJ 3021 b,57,3.37 Jupiters,6.59,2000
829,GJ 3082 b,54,8.2 Earths,11.041,2020
830,GJ 3090 b,73,3.34 Earths,11.403,2022
831,GJ 3138 b,93,1.78 Earths,10.8275,2017
832,GJ 3138 c,93,4.18 Earths,10.8275,2017
833,GJ 3138 d,93,10.5 Earths,10.8275,2017
834,GJ 317 b,50,2.5 Jupiters,12.4,2007
835,GJ 317 c,50,1.64396 Jupiters,12.4,2018
836,GJ 3222 b,59,11.44182 Earths,6.9,2022
837,GJ 328 b,67,2.51 Jupiters,9.99,2013
838,GJ 328 c,67,21.4 Earths,9.99,2023
839,GJ 3293 b,66,23.54 Earths,11.945,2015
840,GJ 3293 c,66,21.09 Earths,11.945,2015
841,GJ 3293 d,66,7.6 Earths,11.945,2017
842,GJ 3293 e,66,3.28 Earths,11.945,2017
843,GJ 3323 b,18,2.02 Earths,12.57,2017
844,GJ 3323 c,18,2.31 Earths,12.57,2017
845,GJ 3341 b,77,6.6 Earths,12.062,2015
846,GJ 338 B b,21,10.6 Earths,7.7,2020
847,GJ 3470 b,96,13.9 Earths,12.332,2012
848,GJ 3473 b,89,1.86 Earths,13.74,2020
849,GJ 3473 c,89,7.41 Earths,13.74,2020
850,GJ 27.1 b,77,13 Earths,11.45,2014
851,GJ 273 b,19,2.89 Earths,9.84,2017
852,GJ 273 c,19,1.18 Earths,9.84,2017
853,GJ 3021 b,57,3.37 Jupiters,6.59,2000
854,GJ 3082 b,54,8.2 Earths,11.041,2020
855,GJ 3090 b,73,3.34 Earths,11.403,2022
856,GJ 3138 b,93,1.78 Earths,10.8275,2017
857,GJ 3138 c,93,4.18 Earths,10.8275,2017
858,GJ 3138 d,93,10.5 Earths,10.8275,2017
859,GJ 317 b,50,2.5 Jupiters,12.4,2007
860,GJ 317 c,50,1.64396 Jupiters,12.4,2018
861,GJ 3222 b,59,11.44182 Earths,6.9,2022
862,GJ 328 b,67,2.51 Jupiters,9.99,2013
863,GJ 328 c,67,21.4 Earths,9.99,2023
864,GJ 3293 b,66,23.54 Earths,11.945,2015
865,GJ 3293 c,66,21.09 Earths,11.945,2015
866,GJ 3293 d,66,7.6 Earths,11.945,2017
867,GJ 3293 e,66,3.28 Earths,11.945,2017
868,GJ 3323 b,18,2.02 Earths,12.57,2017
869,GJ 3323 c,18,2.31 Earths,12.57,2017
870,GJ 3341 b,77,6.6 Earths,12.062,2015
871,GJ 338 B b,21,10.6 Earths,7.7,2020
872,GJ 3470 b,96,13.9 Earths,12.332,2012
873,GJ 3473 b,89,1.86 Earths,13.74,2020
874,GJ 3473 c,89,7.41 Earths,13.74,2020
875,GJ 27.1 b,77,13 Earths,11.45,2014
876,GJ 273 b,19,2.89 Earths,9.84,2017
877,GJ 273 c,19,1.18 Earths,9.84,2017
878,GJ 3021 b,57,3.37 Jupiters,6.59,2000
879,GJ 3082 b,54,8.2 Earths,11.041,2020
880,GJ 3090 b,73,3.34 Earths,11.403,2022
881,GJ 3138 b,93,1.78 Earths,10.8275,2017
882,GJ 3138 c,93,4.18 Earths,10.8275,2017
883,GJ 3138 d,93,10.5 Earths,10.8275,2017
884,GJ 317 b,50,2.5 Jupiters,12.4,2007
885,GJ 317 c,50,1.64396 Jupiters,12.4,2018
886,GJ 3222 b,59,11.44182 Earths,6.9,2022
887,GJ 328 b,67,2.51 Jupiters,9.99,2013
888,GJ 328 c,67,21.4 Earths,9.99,2023
889,GJ 3293 b,66,23.54 Earths,11.945,2015
890,GJ 3293 c,66,21.09 Earths,11.945,2015
891,GJ 3293 d,66,7.6 Earths,11.945,2017
892,GJ 3293 e,66,3.28 Earths,11.945,2017
893,GJ 3323 b,18,2.02 Earths,12.57,2017
894,GJ 3323 c,18,2.31 Earths,12.57,2017
895,GJ 3341 b,77,6.6 Earths,12.062,2015
896,GJ 338 B b,21,10.6 Earths,7.7,2020
897,GJ 3470 b,96,13.9 Earths,12.332,2012
898,GJ 3473 b,89,1.86 Earths,13.74,2020
899,GJ 3473 c,89,7.41 Earths,13.74,2020
900,GJ 27.1 b,77,13 Earths,11.45,2014
901,GJ 273 b,19,2.89 Earths,9.84,2017
902,GJ 273 c,19,1.18 Earths,9.84,2017
903,GJ 3021 b,57,3.37 Jupiters,6.59,2000
904,GJ 3082 b,54,8.2 Earths,11.041,2020
905,GJ 3090 b,73,3.34 Earths,11.403,2022
906,GJ 3138 b,93,1.78 Earths,10.8275,2017
907,GJ 3138 c,93,4.18 Earths,10.8275,2017
908,GJ 3138 d,93,10.5 Earths,10.8275,2017
909,GJ 317 b,50,2.5 Jupiters,12.4,2007
910,GJ 317 c,50,1.64396 Jupiters,12.4,2018
911,GJ 3222 b,59,11.44182 Earths,6.9,2022
912,GJ 328 b,67,2.51 Jupiters,9.99,2013
913,GJ 328 c,67,21.4 Earths,9.99,2023
914,GJ 3293 b,66,23.54 Earths,11.945,2015
915,GJ 3293 c,66,21.09 Earths,11.945,2015
916,GJ 3293 d,66,7.6 Earths,11.945,2017
917,GJ 3293 e,66,3.28 Earths,11.945,2017
918,GJ 3323 b,18,2.02 Earths,12.57,2017
919,GJ 3323 c,18,2.31 Earths,12.57,2017
920,GJ 3341 b,77,6.6 Earths,12.062,2015
921,GJ 338 B b,21,10.6 Earths,7.7,2020
922,GJ 3470 b,96,13.9 Earths,12.332,2012
923,GJ 3473 b,89,1.86 Earths,13.74,2020
924,GJ 3473 c,89,7.41 Earths,13.74,2020
925,GJ 27.1 b,77,13 Earths,11.45,2014
926,GJ 273 b,19,2.89 Earths,9.84,2017
927,GJ 273 c,19,1.18 Earths,9.84,2017
928,GJ 3021 b,57,3.37 Jupiters,6.59,2000
929,GJ 3082 b,54,8.2 Earths,11.041,2020
930,GJ 3090 b,73,3.34 Earths,11.403,2022
931,GJ 3138 b,93,1.78 Earths,10.8275,2017
932,GJ 3138 c,93,4.18 Earths,10.8275,2017
933,GJ 3138 d,93,10.5 Earths,10.8275,2017
934,GJ 317 b,50,2.5 Jupiters,12.4,2007
935,GJ 317 c,50,1.64396 Jupiters,12.4,2018
936,GJ 3222 b,59,11.44182 Earths,6.9,2022
937,GJ 328 b,67,2.51 Jupiters,9.99,2013
938,GJ 328 c,67,21.4 Earths,9.99,2023
939,GJ 3293 b,66,23.54 Earths,11.945,2015
940,GJ 3293 c,66,21.09 Earths,11.945,2015
941,GJ 3293 d,66,7.6 Earths,11.945,2017
942,GJ 3293 e,66,3.28 Earths,11.945,2017
943,GJ 3323 b,18,2.02 Earths,12.57,2017
944,GJ 3323 c,18,2.31 Earths,12.57,2017
945,GJ 3341 b,77,6.6 Earths,12.062,2015
946,GJ 338 B b,21,10.6 Earths,7.7,2020
947,GJ 3470 b,96,13.9 Earths,12.332,2012
948,GJ 3473 b,89,1.86 Earths,13.74,2020
949,GJ 3473 c,89,7.41 Earths,13.74,2020
950,GJ 3512 b,31,0.46 Jupiters,15.18,2019
951,GJ 3512 c,31,0.2 Jupiters,15.18,2020
952,GJ 357 b,31,1.84 Earths,10.91,2019
953,GJ 357 c,31,3.4 Earths,10.91,2019
954,GJ 357 d,31,6.1 Earths,10.91,2019
955,GJ 3634 b,66,8.4 Earths,11.938,2010
956,GJ 367 b,31,0.546 Earths,10.153,2021
957,GJ 3779 b,45,8 Earths,13.04,2018
958,GJ 3929 b,52,1.75 Earths,12.675,2022
959,GJ 3929 c,52,5.71 Earths,12.675,2022
960,GJ 393 b,23,1.71 Earths,9.65,2021
961,GJ 3942 b,55,7.14 Earths,10.166,2017
962,GJ 3998 b,59,2.47 Earths,10.844,2016
963,GJ 3998 c,59,6.26 Earths,10.844,2016
964,GJ 411 b,19,2.69 Earths,7.49,2019
965,GJ 414 A b,39,7.6 Earths,8.31,2021
966,GJ 414 A c,39,0.16937 Jupiters,8.31,2021
967,GJ 422 b,41,11.07 Earths,11.66,2014
968,GJ 4276 b,70,16.57 Earths,12.903,2019
969,GJ 433 b,30,6.043 Earths,9.81,2011
970,GJ 433 c,30,32.422 Earths,9.81,2014
971,GJ 433 d,30,5.223 Earths,9.81,2020
972,GJ 436 b,32,22.1 Earths,10.67,2004
973,GJ 463 b,60,3.6 Jupiters,11.595,2022
974,GJ 480 b,46,13.2 Earths,11.49,2020
975,GJ 3512 b,31,0.46 Jupiters,15.18,2019
976,GJ 3512 c,31,0.2 Jupiters,15.18,2020
977,GJ 357 b,31,1.84 Earths,10.91,2019
978,GJ 357 c,31,3.4 Earths,10.91,2019
979,GJ 357 d,31,6.1 Earths,10.91,2019
980,GJ 3634 b,66,8.4 Earths,11.938,2010
981,GJ 367 b,31,0.546 Earths,10.153,2021
982,GJ 3779 b,45,8 Earths,13.04,2018
983,GJ 3929 b,52,1.75 Earths,12.675,2022
984,GJ 3929 c,52,5.71 Earths,12.675,2022
985,GJ 393 b,23,1.71 Earths,9.65,2021
986,GJ 3942 b,55,7.14 Earths,10.166,2017
987,GJ 3998 b,59,2.47 Earths,10.844,2016
988,GJ 3998 c,59,6.26 Earths,10.844,2016
989,GJ 411 b,19,2.69 Earths,7.49,2019
990,GJ 414 A b,39,7.6 Earths,8.31,2021
991,GJ 414 A c,39,0.16937 Jupiters,8.31,2021
992,GJ 422 b,41,11.07 Earths,11.66,2014
993,GJ 4276 b,70,16.57 Earths,12.903,2019
994,GJ 433 b,30,6.043 Earths,9.81,2011
995,GJ 433 c,30,32.422 Earths,9.81,2014
996,GJ 433 d,30,5.223 Earths,9.81,2020
997,GJ 436 b,32,22.1 Earths,10.67,2004
998,GJ 463 b,60,3.6 Jupiters,11.595,2022
999,GJ 480 b,46,13.2 Earths,11.49,2020
1000,GJ 3512 b,31,0.46 Jupiters,15.18,2019
1001,GJ 3512 c,31,0.2 Jupiters,15.18,2020
1002,GJ 357 b,31,1.84 Earths,10.91,2019
1003,GJ 357 c,31,3.4 Earths,10.91,2019
1004,GJ 357 d,31,6.1 Earths,10.91,2019
1005,GJ 3634 b,66,8.4 Earths,11.938,2010
1006,GJ 367 b,31,0.546 Earths,10.153,2021
1007,GJ 3779 b,45,8 Earths,13.04,2018
1008,GJ 3929 b,52,1.75 Earths,12.675,2022
1009,GJ 3929 c,52,5.71 Earths,12.675,2022
1010,GJ 393 b,23,1.71 Earths,9.65,2021
1011,GJ 3942 b,55,7.14 Earths,10.166,2017
1012,GJ 3998 b,59,2.47 Earths,10.844,2016
1013,GJ 3998 c,59,6.26 Earths,10.844,2016
1014,GJ 411 b,19,2.69 Earths,7.49,2019
1015,GJ 414 A b,39,7.6 Earths,8.31,2021
1016,GJ 414 A c,39,0.16937 Jupiters,8.31,2021
1017,GJ 422 b,41,11.07 Earths,11.66,2014
1018,GJ 4276 b,70,16.57 Earths,12.903,2019
1019,GJ 433 b,30,6.043 Earths,9.81,2011
1020,GJ 433 c,30,32.422 Earths,9.81,2014
1021,GJ 433 d,30,5.223 Earths,9.81,2020
1022,GJ 436 b,32,22.1 Earths,10.67,2004
1023,GJ 463 b,60,3.6 Jupiters,11.595,2022
1024,GJ 480 b,46,13.2 Earths,11.49,2020
1025,GJ 486 b,26,2.82 Earths,11.39,2021
1026,GJ 504 b,57,4 Jupiters,5.18799,2013
1027,GJ 514 b,25,5.2 Earths,9.05,2022
1028,GJ 536 b,34,5.36 Earths,9.71,2016
1029,GJ 581 b,21,15.8 Earths,10.57,2005
1030,GJ 581 c,21,5.5 Earths,10.57,2007
1031,GJ 581 e,21,1.7 Earths,10.57,2009
1032,GJ 625 b,21,2.82 Earths,10.066,2017
1033,GJ 649 b,34,0.258 Jupiters,9.7,2009
1034,GJ 667 C b,24,5.6 Earths,10.602,2011
1035,GJ 667 C c,24,3.8 Earths,10.602,2011
1036,GJ 667 C e,24,2.7 Earths,10.602,2013
1037,GJ 667 C f,24,2.7 Earths,10.602,2013
1038,GJ 667 C g,24,4.6 Earths,10.602,2013
1039,GJ 674 b,15,11.09 Earths,9.38,2007
1040,GJ 676 A b,52,5.792 Jupiters,9.58,2010
1041,GJ 676 A c,52,13.492 Jupiters,9.58,2016
1042,GJ 676 A d,52,3.81394 Earths,9.58,2012
1043,GJ 676 A e,52,6.6744 Earths,9.58,2012
1044,GJ 680 b,32,25.1 Jupiters,10.129,2022
1045,GJ 682 b,16,4.4 Earths,10.94,2014
1046,GJ 682 c,16,8.7 Earths,10.94,2014
1047,GJ 685 b,47,9 Earths,9.98,2019
1048,GJ 687 b,15,17.2 Earths,9.15,2014
1049,GJ 687 c,15,16 Earths,9.15,2020
1050,GJ 720 A b,51,13.64 Earths,9.84,2021
1051,GJ 740 b,36,2.96 Earths,9.22,2021
1052,GJ 832 b,16,0.8 Jupiters,8.66,2008
1053,GJ 849 b,29,0.893 Jupiters,10.41,2006
1054,GJ 849 c,29,0.99 Earths,10.41,2014
1055,GJ 86 b,35,4.42 Jupiters,6.12,1999
1056,GJ 876 b,15,2.2756 Jupiters,10.16,1998
1057,GJ 876 c,15,0.7142 Jupiters,10.16,2000
1058,GJ 876 d,15,6.83 Earths,10.16,2005
1059,GJ 876 e,15,14.6 Earths,10.16,2010
1060,GJ 887 b,11,4.2 Earths,7.33,2020
1061,GJ 887 c,11,7.6 Earths,7.33,2020
1062,GJ 896 A b,20,2.26 Jupiters,10.05,2022
1063,GJ 9066 c,15,0.21 Jupiters,12.71,2020
1064,GJ 9689 b,100,9.65 Earths,11.297,2020
1065,GJ 96 b,39,19.66 Earths,9.4,2018
1066,GJ 9714 b,67,9.403 Jupiters,9.37,2022
1067,GJ 9827 b,97,5.14 Earths,10.37,2017
1068,GJ 9827 c,97,1.3 Earths,10.37,2017
1069,GJ 9827 d,97,3.53 Earths,10.37,2017
1070,Gl 378 b,49,13.02 Earths,10.03,2019
1071,Gl 49 b,32,5.63 Earths,9.56,2019
1072,Gl 686 b,27,6.624 Earths,9.62,2018
1073,GPX-1 b,2137,19.7 Jupiters,12.316,2021
1074,GQ Lupi b,493,20 Jupiters,11.593,2004
1075,GJ 720 A b,51,13.64 Earths,9.84,2021
1076,GJ 740 b,36,2.96 Earths,9.22,2021
1077,GJ 832 b,16,0.8 Jupiters,8.66,2008
1078,GJ 849 b,29,0.893 Jupiters,10.41,2006
1079,GJ 849 c,29,0.99 Earths,10.41,2014
1080,GJ 86 b,35,4.42 Jupiters,6.12,1999
1081,GJ 876 b,15,2.2756 Jupiters,10.16,1998
1082,GJ 876 c,15,0.7142 Jupiters,10.16,2000
1083,GJ 876 d,15,6.83 Earths,10.16,2005
1084,GJ 876 e,15,14.6 Earths,10.16,2010
1085,GJ 887 b,11,4.2 Earths,7.33,2020
1086,GJ 887 c,11,7.6 Earths,7.33,2020
1087,GJ 896 A b,20,2.26 Jupiters,10.05,2022
1088,GJ 9066 c,15,0.21 Jupiters,12.71,2020
1089,GJ 9689 b,100,9.65 Earths,11.297,2020
1090,GJ 96 b,39,19.66 Earths,9.4,2018
1091,GJ 9714 b,67,9.403 Jupiters,9.37,2022
1092,GJ 9827 b,97,5.14 Earths,10.37,2017
1093,GJ 9827 c,97,1.3 Earths,10.37,2017
1094,GJ 9827 d,97,3.53 Earths,10.37,2017
1095,Gl 378 b,49,13.02 Earths,10.03,2019
1096,Gl 49 b,32,5.63 Earths,9.56,2019
1097,Gl 686 b,27,6.624 Earths,9.62,2018
1098,GPX-1 b,2137,19.7 Jupiters,12.316,2021
1099,GQ Lupi b,493,20 Jupiters,11.593,2004
1100,GJ 720 A b,51,13.64 Earths,9.84,2021
1101,GJ 740 b,36,2.96 Earths,9.22,2021
1102,GJ 832 b,16,0.8 Jupiters,8.66,2008
1103,GJ 849 b,29,0.893 Jupiters,10.41,2006
1104,GJ 849 c,29,0.99 Earths,10.41,2014
1105,GJ 86 b,35,4.42 Jupiters,6.12,1999
1106,GJ 876 b,15,2.2756 Jupiters,10.16,1998
1107,GJ 876 c,15,0.7142 Jupiters,10.16,2000
1108,GJ 876 d,15,6.83 Earths,10.16,2005
1109,GJ 876 e,15,14.6 Earths,10.16,2010
1110,GJ 887 b,11,4.2 Earths,7.33,2020
1111,GJ 887 c,11,7.6 Earths,7.33,2020
1112,GJ 896 A b,20,2.26 Jupiters,10.05,2022
1113,GJ 9066 c,15,0.21 Jupiters,12.71,2020
1114,GJ 9689 b,100,9.65 Earths,11.297,2020
1115,GJ 96 b,39,19.66 Earths,9.4,2018
1116,GJ 9714 b,67,9.403 Jupiters,9.37,2022
1117,GJ 9827 b,97,5.14 Earths,10.37,2017
1118,GJ 9827 c,97,1.3 Earths,10.37,2017
1119,GJ 9827 d,97,3.53 Earths,10.37,2017
1120,Gl 378 b,49,13.02 Earths,10.03,2019
1121,Gl 49 b,32,5.63 Earths,9.56,2019
1122,Gl 686 b,27,6.624 Earths,9.62,2018
1123,GPX-1 b,2137,19.7 Jupiters,12.316,2021
1124,GQ Lupi b,493,20 Jupiters,11.593,2004
1125,GJ 720 A b,51,13.64 Earths,9.84,2021
1126,GJ 740 b,36,2.96 Earths,9.22,2021
1127,GJ 832 b,16,0.8 Jupiters,8.66,2008
